               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.071407,            0.021102,            0.039303,              0.1751,                 0.7,             0.24723,            0.060177,            0.047938,            0.010134,            0.026439,            0.048057,           0.0050567,           0.0050567
                  58,            0.070819,            0.017758,            0.038478,              0.1751,                 0.7,             0.24723,            0.060177,            0.047938,            0.010134,            0.026439,            0.047134,           0.0051339,           0.0051339
                  59,            0.067746,             0.02152,            0.038967,             0.38223,                 0.7,             0.59002,             0.26967,            0.037485,            0.010245,            0.026705,            0.046211,           0.0052108,           0.0052108
                  60,            0.067639,             0.02738,            0.040653,             0.38223,                 0.7,             0.59002,             0.26967,            0.037485,            0.010245,            0.026705,            0.045287,           0.0052872,           0.0052872
                  61,            0.061097,            0.023494,            0.036422,             0.38223,                 0.7,             0.59002,             0.26967,            0.037485,            0.010245,            0.026705,            0.044363,           0.0053632,           0.0053632
                  62,             0.06261,            0.023611,            0.040174,             0.24827,                 0.5,             0.44571,             0.14154,            0.045132,           0.0097897,             0.02664,            0.043439,           0.0054389,           0.0054389
                  63,            0.077484,            0.014192,            0.039318,             0.24827,                 0.5,             0.44571,             0.14154,            0.045132,           0.0097897,             0.02664,            0.042514,           0.0055141,           0.0055141
                  64,            0.057704,            0.024395,            0.035986,             0.24827,                 0.5,             0.44571,             0.14154,            0.045132,           0.0097897,             0.02664,            0.041589,            0.005589,            0.005589
                  65,            0.063839,            0.016242,            0.036955,                 0.5,                   1,             0.62742,             0.36485,            0.041556,           0.0095906,            0.027289,            0.040663,           0.0056635,           0.0056635
                  66,            0.060219,            0.023391,            0.034587,                 0.5,                   1,             0.62742,             0.36485,            0.041556,           0.0095906,            0.027289,            0.039738,           0.0057375,           0.0057375
                  67,            0.067808,            0.014127,            0.039952,                 0.5,                   1,             0.62742,             0.36485,            0.041556,           0.0095906,            0.027289,            0.038811,           0.0058112,           0.0058112
                  68,             0.05899,            0.017313,            0.035721,             0.47044,                   1,             0.63174,             0.28062,            0.040836,           0.0096858,            0.027321,            0.037884,           0.0058844,           0.0058844
                  69,            0.059529,             0.01329,            0.040015,             0.47044,                   1,             0.63174,             0.28062,            0.040836,           0.0096858,            0.027321,            0.036957,           0.0059573,           0.0059573
                  70,            0.057028,            0.018009,            0.037905,             0.47044,                   1,             0.63174,             0.28062,            0.040836,           0.0096858,            0.027321,             0.03603,           0.0060298,           0.0060298
                  71,            0.061822,            0.024558,            0.036505,             0.34387,                 0.7,             0.34551,             0.13213,            0.043516,           0.0099177,            0.027756,            0.035102,           0.0061019,           0.0061019
                  72,            0.060588,            0.020113,             0.03422,             0.34387,                 0.7,             0.34551,             0.13213,            0.043516,           0.0099177,            0.027756,            0.034174,           0.0061736,           0.0061736
                  73,            0.060719,            0.018107,            0.032752,             0.34387,                 0.7,             0.34551,             0.13213,            0.043516,           0.0099177,            0.027756,            0.033245,           0.0062449,           0.0062449
                  74,            0.063786,            0.015592,            0.034597,             0.55481,                   1,             0.68333,             0.25436,             0.04775,            0.009527,            0.027723,            0.032316,           0.0063158,           0.0063158
                  75,            0.062102,            0.015531,            0.035389,             0.55481,                   1,             0.68333,             0.25436,             0.04775,            0.009527,            0.027723,            0.031386,           0.0063862,           0.0063862
                  76,            0.064756,            0.017023,            0.035698,             0.55481,                   1,             0.68333,             0.25436,             0.04775,            0.009527,            0.027723,            0.030456,           0.0064564,           0.0064564
